rank,risk_tier,image_name,group,top_status,top_confidence,review_priority,top_text,top_reason,top_readable_amount,top_downgraded,needs_review,preview_path
42,A,c_31.jpg,c,篡改,1.0000,26.9500,"29,700.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常；数值区域高度突变(疑似大小字拼接)；数值区域基线严重不齐(疑似错位拼接),yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_31.jpg
43,A,c_171.jpg,c,篡改,0.9966,26.9332,"40,000.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_171.jpg
44,A,c_18.jpg,c,篡改,0.9966,26.9332,"40,000.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_18.jpg
45,A,d_11.jpg,d,篡改,0.9966,26.9332,"26,496.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_11.jpg
46,A,d_125.jpg,d,篡改,0.9961,26.9307,5.50300,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_125.jpg
47,A,c_101.jpg,c,篡改,0.9961,26.9305,"30,000.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_101.jpg
48,A,c_16.jpg,c,篡改,0.9961,26.9305,"30,000.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_16.jpg
49,A,c_25.jpg,c,篡改,0.9961,26.9305,"30,000.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_25.jpg
50,A,c_26.jpg,c,篡改,0.9961,26.9305,"30,000.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_26.jpg
51,A,c_58.jpg,c,篡改,0.9961,26.9305,"30,000.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_58.jpg
52,A,d_147.jpg,d,篡改,0.9950,26.9249,"币-50000.00,",全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_147.jpg
53,A,d_22.jpg,d,篡改,0.9949,26.9243,"22,000.00",全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_22.jpg
54,A,c_135.jpg,c,篡改,0.9940,26.9202,"半35,100.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_135.jpg
55,A,c_49.jpg,c,篡改,0.9940,26.9199,"25,000.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_49.jpg
56,A,d_41.jpg,d,篡改,0.9939,26.9195,5.50500,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_41.jpg
57,A,c_122.jpg,c,篡改,0.9939,26.9194,"半18,860.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_122.jpg
58,A,c_155.jpg,c,篡改,0.9939,26.9194,"半10,588.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_155.jpg
59,A,c_44.jpg,c,篡改,0.9939,26.9194,"半10,588.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_44.jpg
60,A,c_72.jpg,c,篡改,0.9939,26.9194,"半14,391.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_72.jpg
61,A,c_91.jpg,c,篡改,0.9937,26.9186,"半13,500.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_91.jpg
62,A,d_20.jpg,d,篡改,0.9936,26.9182,币-20000.00,全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_20.jpg
63,A,c_131.jpg,c,篡改,0.9934,26.9169,"半14,160.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_131.jpg
64,A,d_90.jpg,d,篡改,0.9931,26.9154,"半43,000.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_90.jpg
65,A,c_177.jpg,c,篡改,0.9927,26.9135,13.341显示卡片,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_177.jpg
66,A,c_145.jpg,c,篡改,0.9924,26.9121,"羊7,990.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_145.jpg
67,A,c_165.jpg,c,篡改,0.9924,26.9121,"'65,100.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_165.jpg
68,A,c_174.jpg,c,篡改,0.9924,26.9121,"羊7,990.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_174.jpg
69,A,c_19.jpg,c,篡改,0.9924,26.9121,"22,000.00",全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_19.jpg
70,A,c_63.jpg,c,篡改,0.9924,26.9121,"半11,580.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_63.jpg
71,A,d_138.jpg,d,篡改,0.9913,26.9067,"半14,400.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_138.jpg
72,A,c_168.png,c,篡改,0.9912,26.9060,"半10,100.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_168.jpg
73,A,d_26.jpg,d,篡改,0.9912,26.9058,"币-45000.00,",全局UI布局异常；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_26.jpg
74,A,d_91.jpg,d,篡改,0.9912,26.9058,"币-74000.00,",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_91.jpg
75,A,a_18.jpg,a,篡改,0.9900,26.8998,"91,092.00",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_18.jpg
76,A,f_47.jpg,f,篡改,0.9580,26.8899,"¥31,80000",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常,no,no,yes,results/amount_batch_ptest_latest/review_previews/f_47.jpg
77,A,c_114.jpg,c,篡改,0.9972,26.8859,"支出14,820.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_114.jpg
78,A,c_53.jpg,c,篡改,0.9968,26.8838,"支出25,070.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_53.jpg
79,A,c_85.jpg,c,篡改,0.9968,26.8838,"支出16,500.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_85.jpg
80,A,c_86.jpg,c,篡改,0.9968,26.8838,"支出16,500.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_86.jpg
81,A,c_109.jpg,c,篡改,0.9965,26.8825,"支出27,800.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_109.jpg
82,A,c_115.jpg,c,篡改,0.9965,26.8825,"支出19,100.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_115.jpg
83,A,d_53.jpg,d,篡改,0.9965,26.8825,"支出15,353.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_53.jpg
84,A,c_111.jpg,c,篡改,0.9959,26.8797,"支出26,808.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_111.jpg
85,A,a_26.jpg,a,篡改,0.9952,26.8758,"支出63,131.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_26.jpg
86,A,d_132.jpg,d,篡改,0.9952,26.8758,"支出63,131.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_132.jpg
87,A,c_126.jpg,c,篡改,0.9951,26.8753,"支出33,472.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_126.jpg
88,A,c_130.jpg,c,篡改,0.9951,26.8753,"支出33,352.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_130.jpg
89,A,d_105.jpg,d,篡改,0.9951,26.8753,"支出33,472.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_105.jpg
90,A,d_109.jpg,d,篡改,0.9951,26.8753,"支出33,352.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_109.jpg
91,A,d_39.jpg,d,篡改,0.9951,26.8753,"支出14,557.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_39.jpg
92,A,d_122.jpg,d,篡改,0.9921,26.8605,"支出8,918.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_122.jpg
93,A,d_141.jpg,d,篡改,0.9921,26.8605,"支出17,818.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_141.jpg
94,A,d_17.jpg,d,篡改,0.9921,26.8605,"支出12,265.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_17.jpg
95,A,c_113.jpg,c,篡改,0.9915,26.8577,预计10-2016:00前到账,全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_113.jpg
96,A,d_38.jpg,d,篡改,0.9905,26.8523,"支出15,100.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_38.jpg
97,A,c_34.jpg,c,篡改,0.9903,26.8516,"支出6,710.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_34.jpg
98,A,d_99.jpg,d,篡改,0.9954,26.7768,17.41,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_99.jpg
99,A,a_3.jpg,a,篡改,0.9954,26.5769,"¥31,000.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_3.jpg
100,A,c_79.jpg,c,篡改,0.9972,26.4359,601.04元摘要:废电池回,全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_79.jpg
101,A,c_178.jpg,c,篡改,0.9966,26.4332,人民币-63000.00,全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_178.jpg
102,A,c_39.jpg,c,篡改,0.9966,26.4332,3433.77元摘要:废电池回,全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_39.jpg
103,A,d_44.jpg,d,篡改,0.9966,26.4332,"26,000.00元",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_44.jpg
104,A,c_47.jpg,c,篡改,0.9958,26.4292,"64557.24元,",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_47.jpg
105,A,c_121.jpg,c,篡改,0.9957,26.4284,1933.77元,全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_121.jpg
106,A,c_95.jpg,c,篡改,0.9947,26.4236,易人民币36000.00,全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_95.jpg
107,A,d_21.jpg,d,篡改,0.9911,26.4057,"27,000.00元",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_21.jpg
108,A,d_42.jpg,d,篡改,0.9922,26.3608,"-17848.00,",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_42.jpg
109,A,f_56.jpg,f,篡改,0.8514,26.3570,"¥21,00000",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常,no,no,yes,results/amount_batch_ptest_latest/review_previews/f_56.jpg
110,A,c_77.jpg,c,篡改,0.9967,26.2336,"28.29元.回复""明细#7000""",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/c_77.jpg
111,A,c_96.jpg,c,篡改,0.9962,26.2312,"8,850元",全局UI布局异常,no,no,yes,results/amount_batch_ptest_latest/review_previews/c_96.jpg
112,A,d_33.jpg,d,篡改,0.9961,26.2305,"26,000.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_33.jpg
113,A,a_17.jpg,a,篡改,0.9954,26.2269,"10,000.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_17.jpg
114,A,a_22.jpg,a,篡改,0.9954,26.2269,"27,000.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/a_22.jpg
115,A,d_70.jpg,d,篡改,0.9953,26.2266,27267.00,全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_70.jpg
116,A,d_25.jpg,d,篡改,0.9952,26.2261,"27,546.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_25.jpg
117,A,d_119.jpg,d,篡改,0.9951,26.2256,币-42000.00,全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_119.jpg
118,A,d_19.jpg,d,篡改,0.9951,26.2256,币-33600.00_,全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_19.jpg
119,A,d_61.jpg,d,篡改,0.9951,26.2256,币-29000.00,全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_61.jpg
120,A,d_2.jpg,d,篡改,0.9944,26.2220,"26,357.00",全局UI布局异常,yes,no,yes,results/amount_batch_ptest_latest/review_previews/d_2.jpg
